Name,ID,Description,Quality,Itempools,Type,Tags,MaxCharges,MoveSpeed,AddBlackHearts,GfxFileName,ClearEffectsOnRemove,InitCharge,PersistentEffect,ShopPrice,AddMaxHearts,Bombs,Pickups,AddCoins,Damage,TearFlags,CraftingQuality,AddCostumeOnPickup,AchievementID,Coins,AddBombs,PassiveCache,ShotSpeed,Luck,Flight,MaxCooldown,ChargeType,Tears,Keys,CacheFlags,Special,DevilPrice,AddHearts,Range,AddSoulHearts,AddKeys
A Dollar,18,$$$,3,,ITEM_PASSIVE,"TAG_NO_CANTRIP,TAG_OFFENSIVE",0,0.0,0,gfx/items/collectibles/Collectibles_018_ADollar.png,True,-1,False,15,0,0,,100,0.0,,3,True,-1,99,0,False,0.0,0.0,False,0,0,0.0,0,0,False,1,0,0.0,0,0
Boom!,19,10 bombs,0,treasure,ITEM_PASSIVE,TAG_OFFENSIVE,0,0.0,0,gfx/items/collectibles/Collectibles_019_Boom.png,True,-1,False,15,0,10,,0,0.0,,0,True,-1,0,10,False,0.0,0.0,False,0,0,0.0,0,0,False,1,0,0.0,0,0
Transcendence,20,We all float down here...,2,secret,ITEM_PASSIVE,"TAG_SUMMONABLE,TAG_NO_LOST_BR",0,0.0,0,gfx/items/collectibles/Collectibles_020_Transcendence.png,True,-1,False,15,0,0,,0,0.0,,2,True,8,0,0,False,0.0,0.0,True,0,0,0.0,0,128,False,1,0,0.0,0,0
The Compass,21,The end is near,1,"shop,beggar,craneGame",ITEM_PASSIVE,"TAG_LAZ_SHARED_GLOBAL,TAG_SUMMONABLE,TAG_OFFENSIVE,TAG_NO_GREED",0,0.0,0,gfx/items/collectibles/Collectibles_021_TheCompass.png,True,-1,False,15,0,0,,0,0.0,,1,True,-1,0,0,False,0.0,0.0,False,0,0,0.0,0,0,False,1,0,0.0,0,0
Lunch,22,HP up,1,"boss,beggar",ITEM_PASSIVE,"TAG_NO_CANTRIP,TAG_NO_LOST_BR,TAG_FOOD",0,0.0,0,gfx/items/collectibles/Collectibles_022_Lunch.png,True,-1,False,15,2,0,,0,0.0,,1,True,-1,0,0,False,0.0,0.0,False,0,0,0.0,0,0,False,1,4,0.0,0,0
Dinner,23,HP up,1,"boss,beggar",ITEM_PASSIVE,"TAG_NO_CANTRIP,TAG_NO_LOST_BR,TAG_FOOD",0,0.0,0,gfx/items/collectibles/Collectibles_023_Dinner.png,True,-1,False,15,2,0,,0,0.0,,1,True,-1,0,0,False,0.0,0.0,False,0,0,0.0,0,0,False,1,4,0.0,0,0
Dessert,24,HP up,1,"boss,beggar",ITEM_PASSIVE,"TAG_NO_CANTRIP,TAG_NO_LOST_BR,TAG_FOOD",0,0.0,0,gfx/items/collectibles/Collectibles_024_Dessert.png,True,-1,False,15,2,0,,0,0.0,,1,True,-1,0,0,False,0.0,0.0,False,0,0,0.0,0,0,False,1,4,0.0,0,0
Breakfast,25,HP up,1,"boss,beggar",ITEM_PASSIVE,"TAG_NO_CANTRIP,TAG_NO_LOST_BR,TAG_FOOD",0,0.0,0,gfx/items/collectibles/Collectibles_025_Breakfast.png,True,-1,False,15,2,0,,0,0.0,,1,True,-1,0,0,False,0.0,0.0,False,0,0,0.0,0,0,False,1,4,0.0,0,0
Rotten Meat,26,HP up,1,"boss,beggar,rottenBeggar",ITEM_PASSIVE,"TAG_NO_CANTRIP,TAG_NO_LOST_BR,TAG_FOOD",0,0.0,0,gfx/items/collectibles/Collectibles_026_RottenMeat.png,True,-1,False,15,2,0,,0,0.0,,1,True,-1,0,0,False,0.0,0.0,False,0,0,0.0,0,0,False,1,4,0.0,0,0
Wooden Spoon,27,Speed up,1,"boss,woodenChest",ITEM_PASSIVE,"TAG_SUMMONABLE,TAG_OFFENSIVE",0,0.29999995231628,0,gfx/items/collectibles/Collectibles_027_WoodenSpoon.png,True,-1,False,15,0,0,,0,0.0,,1,True,-1,0,0,False,0.0,0.0,False,0,0,0.0,0,16,False,1,0,0.0,0,0
The Belt,28,Speed up,1,"boss,goldenChest",ITEM_PASSIVE,"TAG_SUMMONABLE,TAG_OFFENSIVE",0,0.29999995231628,0,gfx/items/collectibles/Collectibles_028_TheBelt.png,True,-1,False,15,0,0,,0,0.0,,1,True,-1,0,0,False,0.0,0.0,False,0,0,0.0,0,16,False,1,0,0.0,0,0
Mom's Underwear,29,Range up,1,"boss,goldenChest,momsChest,oldChest",ITEM_PASSIVE,"TAG_SUMMONABLE,TAG_OFFENSIVE,TAG_MOM",0,0.0,0,gfx/items/collectibles/Collectibles_029_MomsUnderwear.png,True,-1,False,15,0,0,,0,0.0,,1,True,-1,0,0,False,0.0,0.0,False,0,0,0.0,0,8,False,1,0,2.5,0,0
Mom's Heels,30,Range up,1,"boss,momsChest,ultraSecret,oldChest",ITEM_PASSIVE,"TAG_SUMMONABLE,TAG_OFFENSIVE,TAG_MOM",0,0.0,0,gfx/items/collectibles/Collectibles_030_MomsHeels.png,True,-1,False,15,0,0,,0,0.0,,1,True,-1,0,0,False,0.0,0.0,False,0,0,0.0,0,8,False,1,0,2.5,0,0
Mom's Lipstick,31,Range up,1,"boss,momsChest,ultraSecret,oldChest",ITEM_PASSIVE,"TAG_SUMMONABLE,TAG_OFFENSIVE,TAG_MOM",0,0.0,0,gfx/items/collectibles/Collectibles_031_MomsLipstick.png,True,-1,False,15,0,0,PICKUP_HEART,0,0.0,,1,True,-1,0,0,False,0.0,0.0,False,0,0,0.0,0,8,False,1,0,3.75,0,0
Wire Coat Hanger,32,Tears up,3,"boss,goldenChest,craneGame",ITEM_PASSIVE,"TAG_SUMMONABLE,TAG_OFFENSIVE,TAG_TEARS_UP",0,0.0,0,gfx/items/collectibles/Collectibles_032_WireCoatHanger.png,True,-1,False,15,0,0,,0,0.0,,3,True,139,0,0,False,0.0,0.0,False,0,0,0.71790042078933,0,2,False,1,0,0.0,0,0
The Bible,33,Temporary flight,1,"shop,angel,library",ITEM_ACTIVE,"TAG_WISP,TAG_NO_LOST_BR,TAG_BOOK,TAG_ANGEL",4,0.0,0,gfx/items/collectibles/Collectibles_033_TheBible.png,False,-1,False,15,0,0,,0,0.0,,1,False,-1,0,0,False,0.0,0.0,False,0,0,0.0,0,128,False,1,0,0.0,0,0
The Book of Belial,34,Temporary DMG up,2,"devil,library",ITEM_ACTIVE,"TAG_LAZ_SHARED_GLOBAL,TAG_WISP,TAG_OFFENSIVE,TAG_BOOK",3,0.0,0,gfx/items/collectibles/Collectibles_034_TheBookOfBelial.png,False,-1,False,15,0,0,,0,0.0,,2,False,-1,0,0,False,0.0,0.0,False,0,0,0.0,0,1,False,1,0,0.0,0,0
The Necronomicon,35,Mass room damage,0,"devil,secret,library",ITEM_ACTIVE,"TAG_WISP,TAG_OFFENSIVE,TAG_BOOK",4,0.0,0,gfx/items/collectibles/Collectibles_035_TheNecronomicon.png,False,-1,False,15,0,0,,0,0.0,,0,False,36,0,0,False,0.0,0.0,False,0,0,0.0,0,0,False,1,0,0.0,0,0
The Poop,36,Plop!,0,"treasure,shellGame",ITEM_ACTIVE,"TAG_WISP,TAG_POOP",1,0.0,0,gfx/items/collectibles/Collectibles_036_ThePoop.png,False,-1,False,15,0,0,,0,0.0,,0,False,-1,0,0,False,0.0,0.0,False,0,0,0.0,0,0,False,1,0,0.0,0,0
Mr. Boom,37,Reusable bomb buddy,1,"treasure,bombBum",ITEM_ACTIVE,"TAG_WISP,TAG_OFFENSIVE",2,0.0,0,gfx/items/collectibles/Collectibles_037_MrBoom.png,False,-1,False,15,0,0,,0,0.0,,1,False,-1,0,0,False,0.0,0.0,False,0,0,0.0,0,0,False,1,0,0.0,0,0
Tammy's Head,38,Reusable tear burst,1,"treasure,craneGame",ITEM_ACTIVE,"TAG_WISP,TAG_OFFENSIVE,TAG_DEAD",1,0.0,0,gfx/items/collectibles/Collectibles_038_TammysHead.png,False,-1,False,15,0,0,,0,0.0,,1,False,-1,0,0,False,0.0,0.0,False,0,0,0.0,0,0,False,1,0,0.0,0,0
Mom's Bra,39,Mass paralysis,0,"treasure,momsChest,oldChest",ITEM_ACTIVE,"TAG_WISP,TAG_OFFENSIVE,TAG_MOM",3,0.0,0,gfx/items/collectibles/Collectibles_039_MomsBra.png,False,-1,False,15,0,0,,0,0.0,,0,False,-1,0,0,False,0.0,0.0,False,220,0,0.0,0,0,False,1,0,0.0,0,0
Kamikaze!,40,Become the bomb!,0,"treasure,ultraSecret",ITEM_ACTIVE,"TAG_WISP,TAG_NO_LOST_BR",0,0.0,0,gfx/items/collectibles/Collectibles_040_Kamikaze.png,False,-1,False,15,0,0,,0,0.0,,0,True,-1,0,0,False,0.0,0.0,False,30,0,0.0,0,0,False,1,0,0.0,0,0
Mom's Pad,41,Mass fear,0,"treasure,momsChest,oldChest",ITEM_ACTIVE,"TAG_WISP,TAG_OFFENSIVE,TAG_MOM",2,0.0,0,gfx/items/collectibles/Collectibles_041_MomsPad.png,False,-1,False,15,0,0,,0,0.0,,0,False,-1,0,0,False,0.0,0.0,False,450,0,0.0,0,0,False,1,0,0.0,0,0
Bob's Rotten Head,42,Reusable ranged bomb,1,"treasure,rottenBeggar",ITEM_ACTIVE,"TAG_WISP,TAG_OFFENSIVE,TAG_BOB,TAG_DEAD",2,0.0,0,gfx/items/collectibles/Collectibles_042_BobsRottenHead.png,False,-1,False,15,0,0,,0,0.0,,1,False,-1,0,0,False,0.0,0.0,False,0,0,0.0,0,0,False,1,0,0.0,0,0
Teleport!,44,Teleport!,0,"treasure,craneGame",ITEM_ACTIVE,"TAG_WISP,TAG_OFFENSIVE",2,0.0,0,gfx/items/collectibles/Collectibles_044_Teleport.png,False,-1,False,15,0,0,,0,0.0,,0,False,-1,0,0,False,0.0,0.0,False,30,0,0.0,0,0,False,1,0,0.0,0,0
Yum Heart,45,Reusable regeneration,1,"treasure,ultraSecret",ITEM_ACTIVE,"TAG_WISP,TAG_NO_LOST_BR",4,0.0,0,gfx/items/collectibles/Collectibles_045_YumHeart.png,False,-1,False,15,0,0,,0,0.0,,1,False,-1,0,0,False,0.0,0.0,False,0,0,0.0,0,0,False,1,0,0.0,0,0
Lucky Foot,46,Luck up,2,"treasure,beggar,craneGame",ITEM_PASSIVE,"TAG_SUMMONABLE,TAG_OFFENSIVE",0,0.0,0,gfx/items/collectibles/Collectibles_046_LuckyFoot.png,True,-1,False,15,0,0,,0,0.0,,2,True,-1,0,0,False,0.0,1.0,False,0,0,0.0,0,1024,False,1,0,0.0,0,0
Doctor's Remote,47,Reusable air strike,1,"treasure,craneGame",ITEM_ACTIVE,"TAG_WISP,TAG_OFFENSIVE",2,0.0,0,gfx/items/collectibles/Collectibles_047_DoctorsRemote.png,False,-1,False,15,0,0,,0,0.0,,1,False,-1,0,0,False,0.0,0.0,False,0,0,0.0,0,0,False,1,0,0.0,0,0
Cupid's Arrow,48,Piercing shots,2,"treasure,craneGame",ITEM_PASSIVE,"TAG_SUMMONABLE,TAG_OFFENSIVE",0,0.0,0,gfx/items/collectibles/Collectibles_048_CupidsArrow.png,True,-1,False,15,0,0,,0,0.0,TEAR_PIERCING,2,True,-1,0,0,False,0.0,0.0,False,0,0,0.0,0,32,False,1,0,0.0,0,0
Shoop da Whoop!,49,BLLLARRRRGGG!,2,"treasure,craneGame,ultraSecret",ITEM_ACTIVE,"TAG_WISP,TAG_OFFENSIVE",2,0.0,0,gfx/items/collectibles/Collectibles_049_ShoopDaWhoop.png,False,-1,False,15,0,0,,0,0.0,,2,False,-1,0,0,False,0.0,0.0,False,0,0,0.0,0,0,False,1,0,0.0,0,0
Steven,50,DMG up,3,,ITEM_PASSIVE,"TAG_SUMMONABLE,TAG_OFFENSIVE",0,0.0,0,gfx/items/collectibles/Collectibles_050_Steven.png,True,-1,False,15,0,0,,0,1.6913390159607,,3,True,-1,0,0,False,0.0,0.0,False,0,0,0.0,0,1,False,1,0,0.0,0,0
Pentagram,51,DMG up,3,"boss,devil,demonBeggar,curse,craneGame,ultraSecret",ITEM_PASSIVE,"TAG_LAZ_SHARED_GLOBAL,TAG_SUMMONABLE,TAG_OFFENSIVE,TAG_DEVIL",0,0.0,0,gfx/items/collectibles/Collectibles_051_Pentagram.png,True,-1,False,15,0,0,,0,1.6913390159607,,3,True,-1,0,0,False,0.0,0.0,False,0,0,0.0,0,1,False,1,0,0.0,0,0
Dr. Fetus,52,???,4,treasure,ITEM_PASSIVE,"TAG_SUMMONABLE,TAG_OFFENSIVE",0,0.0,0,gfx/items/collectibles/Collectibles_052_DrFetus.png,True,-1,False,15,0,0,,0,0.0,,4,True,11,0,0,False,0.0,0.0,False,0,0,-1.6363636363636,0,65535,True,1,0,0.0,0,0
Magneto,53,Item snatcher,1,"treasure,ultraSecret",ITEM_PASSIVE,TAG_SUMMONABLE,0,0.0,0,gfx/items/collectibles/Collectibles_053_Magneto.png,True,-1,False,15,0,0,,0,0.0,,1,True,-1,0,0,False,0.0,0.0,False,0,0,0.0,0,0,False,1,0,0.0,0,0
Treasure Map,54,Full visible map,1,"shop,beggar",ITEM_PASSIVE,"TAG_LAZ_SHARED_GLOBAL,TAG_SUMMONABLE,TAG_OFFENSIVE,TAG_NO_GREED",0,0.0,0,gfx/items/collectibles/Collectibles_054_TreasureMap.png,True,-1,False,15,0,0,,0,0.0,,1,True,-1,0,0,False,0.0,0.0,False,0,0,0.0,0,0,False,1,0,0.0,0,0
Mom's Eye,55,Eye in the back of your head,1,"treasure,momsChest,oldChest",ITEM_PASSIVE,"TAG_SUMMONABLE,TAG_OFFENSIVE,TAG_MOM",0,0.0,0,gfx/items/collectibles/Collectibles_055_MomsEye.png,True,-1,False,15,0,0,,0,0.0,,1,True,-1,0,0,False,0.0,0.0,False,0,0,0.0,0,0,False,1,0,0.0,0,0
Lemon Mishap,56,Oops...,0,treasure,ITEM_ACTIVE,"TAG_WISP,TAG_OFFENSIVE",2,0.0,0,gfx/items/collectibles/Collectibles_056_LemonMishap.png,False,-1,False,15,0,0,,0,0.0,,0,False,-1,0,0,False,0.0,0.0,False,0,0,0.0,0,0,False,1,0,0.0,0,0
Distant Admiration,57,Attack fly,1,"treasure,keyMaster,babyShop",ITEM_FAMILIAR,"TAG_SUMMONABLE,TAG_OFFENSIVE,TAG_MONSTER_MANUAL,TAG_FLY",0,0.0,0,gfx/items/collectibles/Collectibles_057_DistantAdmiration.png,True,-1,False,15,0,0,,0,0.0,,1,True,-1,0,0,False,0.0,0.0,False,0,0,0.0,0,512,False,1,0,0.0,0,0
Book of Shadows,58,Temporary invincibility,3,"treasure,library",ITEM_ACTIVE,"TAG_WISP,TAG_BOOK",3,0.0,0,gfx/items/collectibles/Collectibles_058_BookOfShadows.png,False,-1,False,15,0,0,,0,0.0,,2,False,-1,0,0,False,0.0,0.0,False,300,0,0.0,0,0,False,1,0,0.0,0,0
The Ladder,60,Building bridges,1,"shop,woodenChest",ITEM_PASSIVE,"TAG_SUMMONABLE,TAG_NO_LOST_BR",0,0.0,0,gfx/items/collectibles/Collectibles_060_TheLadder.png,True,-1,False,15,0,0,,0,0.0,,1,True,-1,0,0,False,0.0,0.0,False,0,0,0.0,0,32,False,1,0,0.0,0,0
Charm of the Vampire,62,DMG up + kills heal,2,treasure,ITEM_PASSIVE,"TAG_NO_CANTRIP,TAG_SUMMONABLE,TAG_NO_LOST_BR",0,0.0,0,gfx/items/collectibles/Collectibles_062_CharmOfTheVampire.png,True,-1,False,15,0,0,,0,0.58166646957397,,2,True,-1,0,0,False,0.0,0.0,False,0,0,0.0,0,1,False,1,0,0.0,0,0
The Battery,63,Stores energy,2,"shop,batteryBum,craneGame",ITEM_PASSIVE,"TAG_NO_CANTRIP,TAG_SUMMONABLE,TAG_OFFENSIVE,TAG_BATTERY",0,0.0,0,gfx/items/collectibles/Collectibles_063_TheBattery.png,True,-1,False,15,0,0,,0,0.0,,2,True,-1,0,0,False,0.0,0.0,False,0,0,0.0,0,0,False,1,0,0.0,0,0
Steam Sale,64,50% off,2,shop,ITEM_PASSIVE,"TAG_SUMMONABLE,TAG_OFFENSIVE",0,0.0,0,gfx/items/collectibles/Collectibles_064_SteamSale.png,True,-1,False,15,0,0,,0,0.0,,2,True,-1,0,0,False,0.0,0.0,False,0,0,0.0,0,0,False,1,0,0.0,0,0
Anarchist Cookbook,65,Summon bombs,0,"treasure,library",ITEM_ACTIVE,"TAG_WISP,TAG_OFFENSIVE,TAG_BOOK",3,0.0,0,gfx/items/collectibles/Collectibles_065_AnarchistCookbook.png,False,-1,False,15,0,0,,0,0.0,,0,False,-1,0,0,False,0.0,0.0,False,35,0,0.0,0,0,False,1,0,0.0,0,0
The Hourglass,66,Temporary enemy slowdown,0,"treasure,craneGame",ITEM_ACTIVE,"TAG_WISP,TAG_OFFENSIVE",2,0.0,0,gfx/items/collectibles/Collectibles_066_TheHourglass.png,False,-1,False,15,0,0,,0,0.0,,0,False,-1,0,0,False,0.0,0.0,False,240,0,0.0,0,0,False,1,0,0.0,0,0
Sister Maggy,67,Friends 'till the end,1,"treasure,ultraSecret,babyShop",ITEM_FAMILIAR,"TAG_SUMMONABLE,TAG_OFFENSIVE,TAG_MONSTER_MANUAL,TAG_BABY",0,0.0,0,gfx/items/collectibles/Collectibles_067_SisterMaggy.png,True,-1,False,15,0,0,,0,0.0,,1,True,-1,0,0,False,0.0,0.0,False,0,0,0.0,0,512,False,1,0,0.0,0,0
Technology,68,Laser tears,3,"treasure,craneGame",ITEM_PASSIVE,"TAG_SUMMONABLE,TAG_OFFENSIVE,TAG_TECH",0,0.0,0,gfx/items/collectibles/Collectibles_068_Technology.png,True,-1,False,15,0,0,,0,0.0,,3,True,-1,0,0,False,0.0,0.0,False,0,0,0.0,0,65535,False,1,0,0.0,0,0
Chocolate Milk,69,Charge shots,3,treasure,ITEM_PASSIVE,"TAG_SUMMONABLE,TAG_OFFENSIVE",0,0.0,0,gfx/items/collectibles/Collectibles_069_ChocolateMilk.png,True,-1,False,15,0,0,,0,0.0,,3,True,-1,0,0,False,0.0,0.0,False,0,0,0.0,0,65535,False,1,0,0.0,0,0
Growth Hormones,70,Speed + DMG up,3,"boss,demonBeggar",ITEM_PASSIVE,"TAG_SUMMONABLE,TAG_OFFENSIVE,TAG_SYRINGE",0,0.20000004768372,0,gfx/items/collectibles/Collectibles_070_GrowthHormones.png,True,-1,False,15,0,0,,0,1.6913390159607,,3,True,-1,0,0,False,0.0,0.0,False,0,0,0.0,0,17,False,1,0,0.0,0,0
Mini Mush,71,Speed + range up,2,treasure,ITEM_PASSIVE,"TAG_SUMMONABLE,TAG_OFFENSIVE,TAG_MUSHROOM",0,0.29999995231628,0,gfx/items/collectibles/Collectibles_071_MiniMushroom.png,True,-1,False,15,0,0,,0,0.0,,2,True,-1,0,0,False,0.0,0.0,False,0,0,0.0,0,2072,False,1,0,2.5,0,0
Rosary,72,Tears + faith up,2,"treasure,angel,ultraSecret",ITEM_PASSIVE,"TAG_NO_CANTRIP,TAG_OFFENSIVE,TAG_TEARS_UP,TAG_ANGEL",0,0.0,0,gfx/items/collectibles/Collectibles_072_Rosary.png,True,-1,False,15,0,0,,0,0.0,,2,True,-1,0,0,False,0.0,0.0,False,0,0,0.50101220325568,0,2,False,1,0,0.0,6,0
Cube of Meat,73,Gotta meat 'em all,1,"ultraSecret,babyShop",ITEM_FAMILIAR,"TAG_SUMMONABLE,TAG_MONSTER_MANUAL",0,0.0,0,gfx/items/collectibles/Collectibles_073_CubeOfMeat.png,True,-1,False,15,0,0,,0,0.0,,1,True,6,0,0,False,0.0,0.0,False,0,0,0.0,0,512,False,1,0,0.0,0,0
A Quarter,74,+25 coins,0,"devil,goldenChest",ITEM_PASSIVE,"TAG_NO_CANTRIP,TAG_OFFENSIVE",0,0.0,0,gfx/items/collectibles/Collectibles_074_AQuarter.png,True,-1,False,15,0,0,,25,0.0,,0,True,10,25,0,False,0.0,0.0,False,0,0,0.0,0,0,False,1,0,0.0,0,0
PHD,75,Better pills,2,"treasure,shop",ITEM_PASSIVE,"TAG_NO_CANTRIP,TAG_SUMMONABLE,TAG_OFFENSIVE",0,0.0,0,gfx/items/collectibles/Collectibles_075_PHD.png,True,-1,False,15,0,0,PICKUP_PILL,0,0.0,,2,True,-1,0,0,False,0.0,0.0,False,0,0,0.0,0,0,False,1,4,0.0,0,0
X-Ray Vision,76,I've seen everything,2,treasure,ITEM_PASSIVE,"TAG_SUMMONABLE,TAG_OFFENSIVE",0,0.0,0,gfx/items/collectibles/Collectibles_076_XrayVision.png,True,-1,False,15,0,0,,0,0.0,,2,True,-1,0,0,False,0.0,0.0,False,0,0,0.0,0,0,False,1,0,0.0,0,0
My Little Unicorn,77,Temporary badass,1,"treasure,craneGame",ITEM_ACTIVE,"TAG_WISP,TAG_OFFENSIVE",4,0.0,0,gfx/items/collectibles/Collectibles_077_MyLittleUnicorn.png,False,-1,False,15,0,0,,0,0.0,,1,False,-1,0,0,False,0.0,0.0,False,180,0,0.0,0,16,False,1,0,0.0,0,0
